transaction_id,customer_id,timestamp,transaction_amount,label_for_fraud,method_of_transaction,location_data,merchant_category,notes
1001,20917,2023-06-01 09:15:00,153.25,0,credit_card,New York,retail,Regular shopping
1002,20917,2023-06-02 12:30:00,42.75,0,credit_card,New York,restaurant,Lunch
1003,20917,2023-06-03 17:45:00,67.32,0,credit_card,New York,grocery,Grocery shopping
1004,20917,2023-06-04 08:20:00,1250.00,0,bank_transfer,online,housing,Rent payment
1005,20917,2023-06-05 14:10:00,34.99,0,debit_card,New York,entertainment,Movie tickets
1006,20917,2023-06-06 11:05:00,125.50,0,credit_card,New York,healthcare,Doctor visit
1007,20917,2023-06-07 16:30:00,85.00,0,credit_card,New York,clothing,Clothing purchase
1008,20917,2023-06-08 19:25:00,23.45,0,debit_card,New York,restaurant,Dinner
1009,20917,2023-06-09 10:15:00,5.99,0,credit_card,online,subscription,Streaming service
1010,20917,2023-06-10 13:40:00,175.00,0,credit_card,New York,electronics,Headphones
1011,20917,2023-06-11 08:55:00,45.00,0,mobile_payment,New York,transportation,Taxi service
1012,20917,2023-06-12 15:20:00,32.10,0,debit_card,New York,grocery,Grocery shopping
1013,20917,2023-06-13 09:30:00,1499.99,0,credit_card,online,electronics,New laptop
1014,20917,2023-06-14 11:45:00,19.99,0,debit_card,New York,entertainment,Book purchase
1015,20917,2023-06-15 17:10:00,68.75,0,credit_card,New York,restaurant,Dinner with friends
1016,20917,2023-06-16 14:05:00,210.00,0,bank_transfer,online,utilities,Electricity bill
1017,20917,2023-06-17 10:25:00,799.50,1,credit_card,Sacramento,electronics,Unusual location
1018,20917,2023-06-17 10:35:00,749.99,1,credit_card,Chicago,electronics,Multiple electronics purchases in different locations
1019,20917,2023-06-17 12:50:00,54.30,0,debit_card,New York,restaurant,Business lunch
1020,20917,2023-06-18 09:15:00,22.50,0,mobile_payment,New York,coffee_shop,Coffee and breakfast
1021,20917,2023-06-19 16:40:00,1200.00,0,bank_transfer,online,housing,Partial rent payment
1022,20917,2023-06-20 13:25:00,89.99,0,credit_card,New York,clothing,Shoes purchase
1023,20917,2023-06-21 11:10:00,15.50,0,debit_card,New York,grocery,Quick grocery run
1024,20917,2023-06-22 18:35:00,65.00,0,credit_card,New York,restaurant,Dinner
1025,20917,2023-06-23 09:20:00,120.00,0,credit_card,New York,healthcare,Pharmacy
1026,20917,2023-06-24 14:15:00,35.00,0,mobile_payment,New York,transportation,Rideshare
1027,20917,2023-06-25 10:30:00,2499.99,1,credit_card,online,jewelry,Unusual high-value purchase
1028,20917,2023-06-26 09:45:00,67.32,0,debit_card,New York,grocery,Weekly groceries
1029,20917,2023-06-27 12:20:00,45.75,0,credit_card,New York,restaurant,Lunch
1030,20917,2023-06-28 17:05:00,14.99,0,mobile_payment,online,subscription,App subscription
1031,20917,2023-06-29 09:30:00,350.00,0,bank_transfer,online,insurance,Car insurance
1032,20917,2023-06-30 15:15:00,28.75,0,debit_card,New York,coffee_shop,Coffee and snacks
1033,37962,2023-06-01 08:30:00,125.50,0,credit_card,Los Angeles,retail,Department store purchase
1034,37962,2023-06-02 12:15:00,45.25,0,debit_card,Los Angeles,restaurant,Business lunch
1035,37962,2023-06-03 16:45:00,78.32,0,credit_card,Los Angeles,grocery,Grocery shopping
1036,37962,2023-06-04 09:20:00,1500.00,0,bank_transfer,online,housing,Rent payment
1037,37962,2023-06-05 14:10:00,29.99,0,debit_card,Los Angeles,entertainment,Cinema tickets
1038,37962,2023-06-06 11:30:00,135.00,0,credit_card,Los Angeles,healthcare,Dental checkup
1039,37962,2023-06-07 17:20:00,95.50,0,credit_card,Los Angeles,clothing,Clothing store
1040,37962,2023-06-08 19:15:00,32.45,0,mobile_payment,Los Angeles,restaurant,Dinner
1041,37962,2023-06-09 10:05:00,15.99,0,credit_card,online,subscription,Music streaming
1042,37962,2023-06-10 13:50:00,225.00,0,credit_card,Los Angeles,electronics,Bluetooth speaker
1043,37962,2023-06-11 08:45:00,35.00,0,mobile_payment,Los Angeles,transportation,Rideshare service
1044,37962,2023-06-12 15:30:00,42.75,0,debit_card,Los Angeles,grocery,Quick grocery shop
1045,37962,2023-06-13 09:25:00,1299.99,0,credit_card,online,electronics,Smartphone purchase
1046,37962,2023-06-14 11:40:00,24.99,0,debit_card,Los Angeles,entertainment,Book store
1047,37962,2023-06-15 18:05:00,85.50,0,credit_card,Los Angeles,restaurant,Dinner date
1048,37962,2023-06-16 14:15:00,175.00,0,bank_transfer,online,utilities,Utility bills
1049,37962,2023-06-17 10:20:00,3200.50,1,credit_card,Miami,jewelry,Unusual location and amount
1050,37962,2023-06-17 11:25:00,2499.99,1,credit_card,Dallas,electronics,Unusual location
1051,37962,2023-06-18 12:35:00,58.25,0,debit_card,Los Angeles,restaurant,Lunch with client
1052,37962,2023-06-18 09:10:00,18.50,0,mobile_payment,Los Angeles,coffee_shop,Breakfast meeting
1053,37962,2023-06-19 17:30:00,1000.00,0,bank_transfer,online,housing,Housing association fee
1054,37962,2023-06-20 13:45:00,129.99,0,credit_card,Los Angeles,clothing,Designer jeans
1055,37962,2023-06-21 10:55:00,22.35,0,debit_card,Los Angeles,grocery,Grocery store
1056,37962,2023-06-22 18:40:00,72.00,0,credit_card,Los Angeles,restaurant,Group dinner
1057,37962,2023-06-23 09:15:00,85.00,0,credit_card,Los Angeles,healthcare,Vitamin supplements
1058,37962,2023-06-24 14:25:00,28.50,0,mobile_payment,Los Angeles,transportation,Airport shuttle
1059,37962,2023-06-25 10:15:00,5000.00,1,bank_transfer,online,investment,Unusual high-value transfer
1060,37962,2023-06-26 09:50:00,82.45,0,debit_card,Los Angeles,grocery,Weekly shopping
1061,37962,2023-06-27 12:30:00,38.95,0,credit_card,Los Angeles,restaurant,Business lunch
1062,37962,2023-06-28 16:45:00,9.99,0,mobile_payment,online,subscription,App purchase
1063,37962,2023-06-29 09:35:00,450.00,0,bank_transfer,online,insurance,Home insurance
1064,37962,2023-06-30 15:20:00,24.50,0,debit_card,Los Angeles,coffee_shop,Coffee meeting
1065,17384,2023-06-01 09:45:00,132.25,0,credit_card,Chicago,retail,Shopping mall
1066,17384,2023-06-02 13:10:00,38.50,0,debit_card,Chicago,restaurant,Lunch
1067,17384,2023-06-03 17:30:00,95.42,0,credit_card,Chicago,grocery,Grocery shopping
1068,17384,2023-06-04 08:15:00,950.00,0,bank_transfer,online,housing,Rent installment
1069,17384,2023-06-05 14:25:00,42.99,0,debit_card,Chicago,entertainment,Theater tickets
1070,17384,2023-06-06 11:50:00,115.00,0,credit_card,Chicago,healthcare,Medical visit
1071,17384,2023-06-07 16:15:00,75.25,0,credit_card,Chicago,clothing,Department store
1072,17384,2023-06-08 19:40:00,28.75,0,mobile_payment,Chicago,restaurant,Quick dinner
1073,17384,2023-06-09 10:30:00,12.99,0,credit_card,online,subscription,Video streaming
1074,17384,2023-06-10 13:55:00,199.99,0,credit_card,Chicago,electronics,Earbuds
1075,17384,2023-06-11 08:40:00,32.50,0,mobile_payment,Chicago,transportation,Taxi service
1076,17384,2023-06-12 15:05:00,48.32,0,debit_card,Chicago,grocery,Grocery run
1077,17384,2023-06-13 09:50:00,1100.00,0,credit_card,online,electronics,Computer parts
1078,17384,2023-06-14 11:25:00,15.50,0,debit_card,Chicago,entertainment,Magazine subscription
1079,17384,2023-06-15 17:45:00,92.00,0,credit_card,Chicago,restaurant,Family dinner
1080,17384,2023-06-16 14:30:00,145.00,0,bank_transfer,online,utilities,Monthly utilities
1081,17384,2023-06-17 10:40:00,1850.00,1,credit_card,Seattle,electronics,Unusual location purchase
1082,17384,2023-06-17 10:55:00,1750.00,1,credit_card,Portland,electronics,Multiple high-value purchases
1083,17384,2023-06-18 12:20:00,48.75,0,debit_card,Chicago,restaurant,Weekend brunch
1084,17384,2023-06-18 09:05:00,16.25,0,mobile_payment,Chicago,coffee_shop,Morning coffee
1085,17384,2023-06-19 16:35:00,1100.00,0,bank_transfer,online,housing,Housing maintenance fee
1086,17384,2023-06-20 13:15:00,110.50,0,credit_card,Chicago,clothing,Clothing store
1087,17384,2023-06-21 11:30:00,28.45,0,debit_card,Chicago,grocery,Quick grocery shop
1088,17384,2023-06-22 18:25:00,82.00,0,credit_card,Chicago,restaurant,Dinner with friends
1089,17384,2023-06-23 09:40:00,65.00,0,credit_card,Chicago,healthcare,Pharmacy purchase
1090,17384,2023-06-24 14:50:00,42.00,0,mobile_payment,Chicago,transportation,Airport transfer
1091,17384,2023-06-25 10:35:00,3500.00,1,credit_card,online,electronics,Very large unusual purchase
1092,17384,2023-06-26 09:20:00,78.35,0,debit_card,Chicago,grocery,Grocery shopping
1093,17384,2023-06-27 12:45:00,52.25,0,credit_card,Chicago,restaurant,Business meeting
1094,17384,2023-06-28 17:15:00,11.99,0,mobile_payment,online,subscription,Monthly app subscription
1095,17384,2023-06-29 09:10:00,380.00,0,bank_transfer,online,insurance,Auto insurance
1096,17384,2023-06-30 15:40:00,22.50,0,debit_card,Chicago,coffee_shop,Coffee and pastry 